Index,SMILES,FP_1,FP_2,FP_3,FP_4,FP_5,FP_6,FP_7,FP_8,FP_9,FP_10,FP_11,FP_12,FP_13,FP_14,FP_15,FP_16,FP_17,FP_18,FP_19,FP_20,FP_21,FP_22,FP_23,FP_24,FP_25,FP_26,FP_27,FP_28,FP_29,FP_30,FP_31,FP_32,FP_33,FP_34,FP_35,FP_36,FP_37,FP_38,FP_39,FP_40,FP_41,FP_42
1598,O=C(OCC(O)CO)c1ccccc1Nc1ccnc2cc(Cl)ccc12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,26,6,5,3,0,28,10,17,1,0,3.2148,217.8339,99.5138,372.80228,91.68
1599,CN1C(=O)CN=C(c2ccccc2)c2cc([N+](=O)[O-])ccc21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,22,4,3,0,0,24,9,12,3,0,2.4324,148.8603,91.763,295.29272,78.49
1600,CCCCCCOC(=O)CC(CC(=O)OCCCCCC)(OC(=O)CCC)C(=O)OCCCCCC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,8,8,0,0,35,31,0,4,0,6.2192,19.615,141.888,514.6918,105.2
1601,CN(C)CCC=C1c2ccccc2C(C)(C)c2ccccc21,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,1,1,0,0,24,11,12,1,0,4.7093,86.5656,95.652,291.4299,3.24
1602,COc1ccccc1N=Nc1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)cc(NC(C)=O)c2c1O,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,33,12,12,4,0,35,12,17,6,0,5.6558,382.5067,117.1113,495.48298,208.78
1603,CC(C)CC(=O)O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,1,0,6,5,0,1,0,1.1171,51.2599,27.9208,102.1317,37.3
1604,C=CC(=O)OCC(C)O,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,1,0,8,6,0,2,0,0.0964,-16.1021,32.9288,130.1418,46.53
1605,C=CC1CO1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,0,0,5,4,0,1,0,0.5712,-32.2045,19.839,70.08984,12.53
1606,O=C(O)C1C2CCC(O2)C1C(=O)O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,5,5,2,0,14,12,0,2,0,-0.0508,162.6331,40.9706,186.162,83.83
1607,ON(Cc1ccccc1)Cc1ccccc1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,2,2,1,0,17,5,12,0,0,3.078,93.4212,64.3275,213.275,23.47
